epoch,train_mse_uts,train_mse_fs,full_mae_uts,full_mae_fs,full_score
390,0.03126788,0.10116735,0.11133310,0.20762758,0.31896068
391,0.03302061,0.10286887,0.11081425,0.21259962,0.32341387
392,0.03322925,0.11268924,0.10980040,0.21598819,0.32578859
393,0.03312875,0.10825243,0.10932910,0.21467398,0.32400308
394,0.03052290,0.10438348,0.11242403,0.20943454,0.32185857
395,0.02969712,0.11813046,0.12038914,0.20423152,0.32462066
396,0.03070764,0.10226607,0.12236186,0.20260704,0.32496890
397,0.03309740,0.10872806,0.11570851,0.20203972,0.31774823
398,0.03164911,0.09684081,0.11020251,0.20441225,0.31461477
399,0.03062268,0.11064047,0.10870758,0.20438610,0.31309368
400,0.02958271,0.10097186,0.10774118,0.20211560,0.30985678
401,0.03082273,0.09944919,0.10814027,0.19942264,0.30756292
402,0.03055132,0.11606355,0.11325312,0.20140374,0.31465685
403,0.03129021,0.10448794,0.11866308,0.20612270,0.32478578
404,0.03217541,0.09935356,0.11526980,0.21059787,0.32586767
405,0.03349000,0.10619518,0.10905699,0.21032187,0.31937886
406,0.03159798,0.10764102,0.11095982,0.20699888,0.31795871
407,0.03033701,0.10677398,0.11418141,0.20481546,0.31899688
408,0.03508496,0.10762959,0.11466625,0.20352794,0.31819420
409,0.03247831,0.10476189,0.11574698,0.20242670,0.31817368
410,0.03224672,0.10337637,0.12062055,0.20388579,0.32450634
411,0.03309314,0.09749481,0.12426404,0.20331495,0.32757898
412,0.03573377,0.10269216,0.11856443,0.19738925,0.31595367
413,0.02829174,0.10797685,0.10949767,0.19738479,0.30688246
414,0.03345286,0.10472270,0.10694283,0.19521883,0.30216166
415,0.03122634,0.09863418,0.10801873,0.20223697,0.31025569
416,0.03140036,0.10749721,0.10992194,0.20539503,0.31531697
417,0.03235492,0.10369807,0.11284304,0.19983746,0.31268050
418,0.03214654,0.10427571,0.11908624,0.19755329,0.31663954
419,0.03259844,0.09808224,0.11896980,0.19930555,0.31827535
420,0.03300737,0.09132941,0.11235313,0.19642940,0.30878253
421,0.02854523,0.09658951,0.10703864,0.19546562,0.30250426
422,0.02941559,0.09853163,0.10725880,0.20171227,0.30897107
423,0.03346552,0.10254294,0.10695598,0.20285869,0.30981466
424,0.03158774,0.09775522,0.10981844,0.19572958,0.30554802
425,0.03158639,0.10123406,0.11688057,0.19125967,0.30814023
426,0.03189054,0.10586112,0.11848655,0.19282946,0.31131601
427,0.03187091,0.10191584,0.11360473,0.19154666,0.30515140
428,0.03138823,0.10344567,0.10719554,0.19440147,0.30159701
429,0.03115182,0.10198986,0.10486267,0.19888727,0.30374994
