epoch,train_mse_uts,train_mse_fs,train_mae_uts,val_mae_uts,train_mae_fs,val_mae_fs,val_score
271,0.05271637,0.13750516,0.16064276,0.13936977,0.24765159,0.29396725,0.43333702
272,0.05191511,0.15242925,0.16092688,0.13969706,0.24263807,0.28592098,0.42561804
273,0.05637144,0.15379041,0.16189259,0.14107950,0.24055648,0.27770957,0.41878907
274,0.05590585,0.13753699,0.16400258,0.14433669,0.24011645,0.27439201,0.41872869
275,0.05321005,0.13728665,0.16547894,0.14680913,0.23819059,0.27503720,0.42184633
276,0.05559939,0.14219071,0.16629955,0.14864999,0.23797049,0.28235623,0.43100622
277,0.05236831,0.14631717,0.16513124,0.14720644,0.24313743,0.29352504,0.44073148
278,0.05629474,0.15281115,0.16261330,0.14371662,0.24814452,0.29861203,0.44232865
279,0.05121618,0.14469796,0.15968059,0.13947436,0.24342899,0.29147682,0.43095118
280,0.05550990,0.13931535,0.15871346,0.13820992,0.23910160,0.28376791,0.42197783
281,0.05446265,0.13375454,0.15737128,0.13577448,0.24103571,0.28316441,0.41893889
282,0.05205618,0.16520821,0.15814620,0.13700944,0.24257806,0.28253052,0.41953996
283,0.05591434,0.15872486,0.15971082,0.13966125,0.24269058,0.28484139,0.42450264
284,0.05499307,0.14855544,0.16133101,0.14228858,0.24947366,0.29577199,0.43806057
285,0.05460088,0.13727272,0.16276321,0.14466771,0.25512907,0.30192477,0.44659248
286,0.05325109,0.13225095,0.16422477,0.14694425,0.25399157,0.30075198,0.44769624
287,0.05396068,0.13721088,0.16309081,0.14554051,0.24785286,0.29159188,0.43713239
288,0.05235566,0.13563348,0.16096005,0.14289217,0.24434175,0.28282741,0.42571957
289,0.05415633,0.13440683,0.15919618,0.14083989,0.24464637,0.28148580,0.42232569
290,0.05133985,0.13588199,0.15683033,0.13749593,0.24079709,0.28065744,0.41815338
291,0.05072500,0.14213392,0.15462548,0.13417506,0.23674320,0.27951521,0.41369027
292,0.05366797,0.12842989,0.15496221,0.13515049,0.23634303,0.28056538,0.41571587
293,0.04983865,0.12696290,0.15578844,0.13739941,0.23451208,0.27873170,0.41613111
294,0.05184899,0.13241033,0.15814176,0.14266296,0.23331609,0.27842653,0.42108949
295,0.05391795,0.14265083,0.16157757,0.14928663,0.23163310,0.27895001,0.42823663
296,0.05121715,0.13320850,0.16276383,0.15297765,0.23077698,0.27948210,0.43245974
297,0.05004543,0.12352196,0.15879682,0.14909874,0.23118693,0.28192425,0.43102299
298,0.05305928,0.13777691,0.14941840,0.13629736,0.23244317,0.28450891,0.42080627
299,0.04775907,0.11793733,0.14308031,0.12656809,0.23211375,0.28271559,0.40928368
300,0.04577855,0.13558969,0.14009175,0.12154283,0.23219113,0.28118590,0.40272873
301,0.04469816,0.13526428,0.13928938,0.12223175,0.23203532,0.27856788,0.40079963
302,0.04902310,0.13456701,0.14214192,0.12975612,0.23066467,0.27662614,0.40638226
303,0.04091056,0.13195382,0.14808822,0.14023004,0.23145221,0.28072757,0.42095761
304,0.04310048,0.13319373,0.14488997,0.13573077,0.23466362,0.28285524,0.41858602
305,0.04217562,0.13023373,0.13730609,0.12399081,0.23380411,0.28044376,0.40443457
306,0.04429412,0.12188338,0.13276890,0.11745218,0.22906260,0.27255499,0.39000718
307,0.04009096,0.13781579,0.13153820,0.11634807,0.22880585,0.26975238,0.38610046
308,0.04194611,0.13808306,0.13134353,0.11657178,0.23016086,0.26871574,0.38528752
309,0.04239548,0.13769367,0.13316642,0.12037648,0.23029163,0.27033630,0.39071278
310,0.04330713,0.12568432,0.13862300,0.12809335,0.23283988,0.27477375,0.40286709
