element_0,element_1,element_2,element_3,element_4,element_5,element_6,element_7,element_8,element_9,testenv_0,testenv_1,coldway_0,coldway_1,coldway_2,coldway_3,coldway_4,coldway_5,coldway_6,coldway_7,coldway_8,coldway_9,coldway_10,coldway_11,coldway_12,coldway_13,coldway_14,coldway_15,coldway_16,coldway_17,YS,FS
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,0.42486846446990967,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1184604167938232,0.5783749222755432
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,0.7480681538581848,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1718989610671997,0.6324280500411987
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,1.07126784324646,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1769580841064453,0.752717912197113
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,1.3944674730300903,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2524781227111816,0.5479112863540649
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.7233852744102478,-0.8679302334785461,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48904821276664734,0.899629533290863
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,1.1893140077590942,-0.8679302334785461,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48047277331352234,0.8679444193840027
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,1.6552428007125854,-0.8679302334785461,0.0,0.0,0.2719337046146393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5201607942581177,1.518787145614624
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,-0.8679302334785461,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586374163627625,0.641381561756134
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239170789718628,0.3186420798301697
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,0.42486846446990967,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1960575580596924,0.5187197923660278
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,1.07126784324646,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1633597612380981,0.7262632250785828
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,1.3944674730300903,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4160875082015991,0.669304609298706
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.7233852744102478,-0.8679302334785461,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509796142578125,0.8359037041664124
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,1.1893140077590942,-0.8679302334785461,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374980568885803,0.9636398553848267
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,1.6552428007125854,-0.8679302334785461,0.0,0.0,0.2231435477733612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771423816680908,1.1836575269699097
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,-0.8679302334785461,0.0,0.0,0.20294086635112762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3044891953468323,2.079441547393799,0.0,0.0,0.0,0.0,0.0,0.0,1.0776909589767456,0.8496659398078918
6.0,4.0,2.0,2.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,-0.7908832430839539,0.10166878998279572,0.0,0.0,0.20294086635112762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3044891953468323,2.079441547393799,0.0,0.0,0.0,0.0,0.0,0.0,1.1908162832260132,0.2978459894657135
